Date,Close/Last,Volume,Open,High,Low
05/02/2025,$16.67,16540100,$16.81,$16.8668,$16.60
05/01/2025,$16.53,18176220,$16.69,$16.97,$16.505
04/30/2025,$16.54,19619470,$16.90,$16.94,$16.35
04/29/2025,$17.04,10873190,$17.20,$17.31,$17.04
04/28/2025,$17.28,11028820,$17.45,$17.525,$17.21
04/25/2025,$17.45,9817443,$17.51,$17.54,$17.28
04/24/2025,$17.59,10808640,$17.20,$17.705,$17.17
04/23/2025,$17.10,14066790,$17.36,$17.60,$16.9201
04/22/2025,$16.98,11431460,$16.805,$17.045,$16.75
04/21/2025,$16.56,14310220,$17.205,$17.23,$16.38
04/17/2025,$17.27,11256270,$17.11,$17.52,$17.07
04/16/2025,$16.92,11709960,$17.15,$17.30,$16.79
04/15/2025,$17.11,10196600,$16.87,$17.3689,$16.80
04/14/2025,$16.82,14448960,$16.73,$16.8567,$16.415
04/11/2025,$16.33,18407270,$16.05,$16.33,$15.41
04/10/2025,$15.91,19076690,$16.48,$16.50,$15.5137
04/09/2025,$16.67,48154170,$15.43,$16.985,$14.90
04/08/2025,$15.65,31815940,$16.97,$17.03,$15.32
04/07/2025,$15.87,44863170,$15.01,$16.7781,$14.60
04/04/2025,$16.16,50932810,$16.90,$16.98,$15.63
04/03/2025,$17.73,30295930,$18.20,$18.32,$17.685
04/02/2025,$18.93,7907347,$18.69,$18.94,$18.55
04/01/2025,$18.73,11201260,$18.525,$18.84,$18.40
03/31/2025,$18.59,12523300,$18.28,$18.645,$18.22
03/28/2025,$18.71,10756990,$18.89,$18.89,$18.45
03/27/2025,$18.88,9882221,$18.90,$19.04,$18.75
03/26/2025,$18.93,10413200,$18.90,$19.12,$18.855
03/25/2025,$18.88,8733757,$18.87,$19.13,$18.81
03/24/2025,$18.88,12855170,$18.805,$19.11,$18.7729
03/21/2025,$18.60,15140370,$18.82,$18.82,$18.45
03/20/2025,$18.85,7995430,$19.04,$19.065,$18.815
03/19/2025,$18.94,6833033,$18.79,$19.05,$18.685
03/18/2025,$18.68,7221039,$18.94,$18.98,$18.66
03/17/2025,$18.90,9101812,$18.79,$19.03,$18.74
03/14/2025,$18.73,10769750,$18.32,$18.777,$18.32
03/13/2025,$18.17,9803614,$18.43,$18.70,$18.125
03/12/2025,$18.40,15038480,$18.17,$18.60,$18.05
03/11/2025,$17.83,17884220,$17.28,$18.01,$17.21
03/10/2025,$17.26,40030370,$17.27,$17.35,$16.83
03/07/2025,$17.46,26874650,$17.71,$17.89,$17.28
03/06/2025,$17.70,26731190,$17.95,$18.045,$17.36
03/05/2025,$18.20,23262680,$18.46,$18.57,$17.8801
03/04/2025,$18.47,29228920,$18.81,$18.85,$18.10
03/03/2025,$19.03,13557400,$19.32,$19.51,$18.90
02/28/2025,$19.29,11659170,$18.89,$19.34,$18.86
02/27/2025,$18.94,14539370,$19.30,$19.3755,$18.915
02/26/2025,$19.16,12978420,$19.055,$19.455,$18.94
02/25/2025,$18.92,30618520,$18.96,$19.15,$18.25
02/24/2025,$18.97,21504820,$19.41,$19.41,$18.625
02/21/2025,$19.39,15649450,$19.85,$19.8774,$19.30
02/20/2025,$19.94,13840770,$20.12,$20.12,$19.7742
02/19/2025,$20.12,15610320,$20.50,$20.509,$20.05
02/18/2025,$20.30,13528180,$20.11,$20.45,$20.07
02/14/2025,$19.99,10427450,$19.88,$20.09,$19.7449
02/13/2025,$19.82,12619200,$19.74,$19.91,$19.55
02/12/2025,$19.65,15936320,$19.33,$19.99,$19.26
02/11/2025,$19.81,15751630,$20.10,$20.10,$19.80
02/10/2025,$20.09,20832700,$20.43,$20.55,$20.00
02/07/2025,$19.93,14777760,$20.00,$20.1152,$19.79
02/06/2025,$20.37,14795460,$20.87,$20.90,$20.24
02/05/2025,$20.79,15753310,$20.75,$21.07,$20.74
02/04/2025,$20.77,12543380,$20.88,$20.975,$20.67
02/03/2025,$20.76,17648780,$20.15,$20.865,$20.08
01/31/2025,$20.48,17431280,$21.15,$21.16,$20.44
01/30/2025,$21.08,26849230,$20.64,$21.15,$20.64
01/29/2025,$20.53,9429928,$20.47,$20.65,$20.41
01/28/2025,$20.35,21954020,$20.05,$20.39,$19.80
01/27/2025,$19.81,46862480,$20.38,$20.42,$19.525
01/24/2025,$21.05,20462430,$21.23,$21.24,$20.82
01/23/2025,$21.06,13095540,$21.08,$21.27,$20.98
01/22/2025,$20.92,20102890,$21.00,$21.45,$20.91
01/21/2025,$20.91,19780450,$20.52,$21.02,$20.375
01/17/2025,$20.29,14540250,$20.31,$20.40,$20.1114
01/16/2025,$20.25,18225940,$20.06,$20.30,$19.88
01/15/2025,$20.04,18714660,$20.20,$20.32,$19.64
01/14/2025,$19.93,12730590,$19.60,$20.005,$19.534
01/13/2025,$19.47,17311090,$19.55,$19.62,$19.25
01/10/2025,$19.42,14402780,$19.78,$19.83,$19.28
01/08/2025,$19.73,9018170,$19.40,$19.75,$19.36
01/07/2025,$19.49,9677274,$19.72,$19.80,$19.36
01/06/2025,$19.62,8426231,$19.70,$19.82,$19.57
01/03/2025,$19.64,20812330,$19.72,$19.7795,$19.50
01/02/2025,$19.71,22112830,$19.56,$19.75,$19.45
12/31/2024,$19.59,8823689,$19.67,$19.78,$19.47
12/30/2024,$19.57,10722250,$19.23,$19.63,$19.20
12/27/2024,$19.28,6943279,$19.21,$19.28,$19.07
12/26/2024,$19.26,11424440,$19.55,$19.56,$19.15
12/24/2024,$19.60,6987384,$19.23,$19.60,$19.08
12/23/2024,$19.04,8953816,$18.80,$19.07,$18.69
12/20/2024,$18.86,23266460,$18.38,$18.86,$18.31
12/19/2024,$18.27,14762020,$18.39,$18.65,$18.09
12/18/2024,$18.20,13915010,$18.69,$18.77,$18.20
12/17/2024,$18.64,30089020,$18.55,$18.745,$18.40
12/16/2024,$18.70,12638380,$19.03,$19.095,$18.70
12/13/2024,$19.04,10819200,$19.25,$19.26,$18.96
12/12/2024,$19.21,8826785,$19.17,$19.38,$19.06
12/11/2024,$19.18,11820410,$18.87,$19.29,$18.81
12/10/2024,$18.74,11886480,$18.93,$19.065,$18.68
12/09/2024,$18.84,14275920,$19.50,$19.63,$18.82
12/06/2024,$19.26,14520750,$19.06,$19.50,$18.89
12/05/2024,$19.07,11230710,$18.80,$19.20,$18.73
12/04/2024,$18.98,11123400,$19.26,$19.38,$18.95
12/03/2024,$19.26,14173680,$19.45,$19.4799,$18.935
12/02/2024,$19.42,14888890,$19.90,$19.90,$19.36
11/29/2024,$19.86,16083810,$19.60,$20.02,$19.58
11/27/2024,$19.42,22601810,$19.28,$19.71,$19.25
11/26/2024,$19.20,12285540,$18.93,$19.22,$18.85
11/25/2024,$18.97,20619150,$19.13,$19.35,$18.72
11/22/2024,$19.07,22173340,$19.11,$19.20,$18.96
11/21/2024,$18.97,42715230,$18.36,$19.07,$18.315
11/20/2024,$18.28,28443280,$18.10,$18.37,$18.025
11/19/2024,$17.96,22240740,$17.64,$18.08,$17.585
11/18/2024,$17.58,17212630,$17.38,$17.65,$17.37
11/15/2024,$17.29,13134770,$17.14,$17.31,$17.07
11/14/2024,$17.15,10384270,$17.17,$17.23,$17.08
11/13/2024,$17.10,30764150,$17.12,$17.15,$16.99
11/12/2024,$17.05,10924430,$17.24,$17.28,$16.98
11/11/2024,$17.24,20245950,$17.30,$17.39,$17.13
11/08/2024,$17.30,26159440,$17.10,$17.40,$16.86
11/07/2024,$17.41,27844360,$17.68,$17.71,$17.315
