Date,Close/Last,Volume,Open,High,Low
05/02/2025,$5.13,1721291,$5.17,$5.264,$5.10
05/01/2025,$5.17,1230819,$5.18,$5.34,$5.10
04/30/2025,$5.18,795068,$5.20,$5.20,$4.99
04/29/2025,$5.21,1201028,$5.13,$5.23,$5.06
04/28/2025,$5.13,652035,$5.14,$5.24,$5.07
04/25/2025,$5.18,952642,$5.195,$5.22,$5.03
04/24/2025,$5.28,1079848,$5.34,$5.35,$5.145
04/23/2025,$5.27,1444053,$5.31,$5.40,$5.27
04/22/2025,$5.17,1110843,$5.02,$5.18,$5.01
04/21/2025,$5.05,1343099,$5.20,$5.20,$4.89
04/17/2025,$5.18,896647,$5.18,$5.2635,$5.05
04/16/2025,$5.12,1543021,$5.32,$5.40,$5.03
04/15/2025,$5.44,2009558,$5.20,$5.45,$5.17
04/14/2025,$5.22,4635195,$4.92,$5.55,$4.87
04/11/2025,$4.82,1261544,$4.80,$4.96,$4.67
04/10/2025,$4.75,3132281,$4.95,$4.95,$4.60
04/09/2025,$5.05,5923444,$4.19,$5.15,$4.18
04/08/2025,$4.30,5171912,$4.77,$5.19,$4.20
04/07/2025,$4.68,8266225,$4.15,$4.69,$4.06
04/04/2025,$4.66,6396694,$4.90,$5.00,$4.50
04/03/2025,$5.25,2407244,$5.325,$5.44,$5.12
04/02/2025,$5.61,1279516,$5.70,$5.75,$5.42
04/01/2025,$5.71,2375913,$5.37,$5.74,$5.35
03/31/2025,$5.35,3348024,$5.64,$5.67,$5.14
03/28/2025,$5.74,1916198,$6.02,$6.07,$5.67
03/27/2025,$6.03,2043912,$6.00,$6.34,$5.98
03/26/2025,$5.98,3977278,$6.235,$6.48,$5.90
03/25/2025,$6.26,4912723,$6.00,$6.36,$5.95
03/24/2025,$5.94,5791670,$5.76,$5.98,$5.50
03/21/2025,$5.44,3300314,$5.185,$5.442,$4.98
03/20/2025,$5.16,5586315,$5.09,$5.17,$4.95
03/19/2025,$5.08,2571323,$4.71,$5.10,$4.71
03/18/2025,$4.72,2502897,$4.955,$4.96,$4.58
03/17/2025,$4.84,4063143,$5.11,$5.12,$4.75
03/14/2025,$5.09,5095747,$4.72,$5.10,$4.71
03/13/2025,$4.59,3064238,$4.88,$5.10,$4.50
03/12/2025,$4.82,3030797,$4.55,$4.88,$4.50
03/11/2025,$4.43,5557589,$4.08,$4.58,$4.05
03/10/2025,$4.12,6169045,$4.80,$4.85,$4.12
03/07/2025,$4.95,7991099,$5.03,$5.04,$4.50
03/06/2025,$5.07,3381470,$5.43,$5.49,$5.01
03/05/2025,$5.49,2155507,$5.37,$5.55,$5.13
03/04/2025,$5.3505,5080350,$5.33,$5.41,$4.96
03/03/2025,$5.54,2039446,$5.49,$5.74,$5.49
02/28/2025,$5.49,3709529,$5.61,$5.65,$5.34
02/27/2025,$5.61,3656846,$5.63,$5.94,$5.60
02/26/2025,$5.62,3076733,$5.65,$6.14,$5.60
02/25/2025,$5.71,3402383,$5.90,$6.00,$5.56
02/24/2025,$6.20,3992725,$6.19,$6.29,$5.80
02/21/2025,$6.29,7378870,$6.57,$6.60,$6.16
02/20/2025,$6.50,4590943,$6.78,$7.00,$6.05
02/19/2025,$6.72,5255089,$6.51,$6.79,$6.51
02/18/2025,$6.51,5116517,$6.35,$6.59,$6.34
02/14/2025,$6.45,5512436,$6.20,$6.50,$6.14
02/13/2025,$6.12,3185028,$6.43,$6.49,$6.02
02/12/2025,$6.35,2505076,$6.24,$6.45,$6.20
02/11/2025,$6.27,2176345,$6.22,$6.35,$6.20
02/10/2025,$6.175,3694111,$6.14,$6.34,$5.97
02/07/2025,$6.12,3151679,$6.23,$6.33,$5.959
02/06/2025,$6.25,11561830,$6.09,$6.57,$5.90
02/05/2025,$5.39,4010877,$5.00,$5.39,$5.00
02/04/2025,$5.08,2805339,$4.82,$5.19,$4.82
02/03/2025,$4.87,6650313,$5.00,$5.08,$4.70
01/31/2025,$5.20,1988964,$5.38,$5.38,$5.20
01/30/2025,$5.35,1911931,$5.32,$5.47,$5.22
01/29/2025,$5.32,3422763,$5.43,$5.48,$5.15
01/28/2025,$5.44,3967184,$5.03,$5.58,$5.00
01/27/2025,$5.06,5069802,$5.01,$5.28,$4.89
01/24/2025,$5.23,10568260,$5.46,$5.50,$4.80
01/23/2025,$5.68,2413513,$5.91,$5.98,$5.68
01/22/2025,$5.93,5772445,$6.13,$6.13,$5.65
01/21/2025,$6.14,11273870,$6.34,$6.65,$5.52
01/17/2025,$6.10,13351170,$4.89,$6.35,$4.75
01/16/2025,$4.83,15533290,$5.81,$5.94,$4.58
01/15/2025,$5.66,19818800,$6.99,$7.15,$5.27
01/14/2025,$6.43,20895170,$5.42,$6.85,$5.42
01/13/2025,$5.31,6729088,$5.17,$5.33,$5.11
01/10/2025,$5.05,14465690,$5.06,$5.25,$4.92
01/08/2025,$4.94,10725460,$4.53,$4.97,$4.42
01/07/2025,$4.40,7568046,$4.45,$4.61,$4.15
01/06/2025,$4.22,22461020,$4.52,$5.09,$3.20
01/03/2025,$4.3335,24271700,$3.45,$4.36,$3.45
01/02/2025,$3.37,6784399,$3.31,$3.45,$3.18
12/31/2024,$3.2655,10782330,$3.44,$3.50,$3.03
12/30/2024,$3.32,9554189,$2.48,$3.50,$2.23
12/27/2024,$2.48,1953571,$2.55,$2.56,$2.48
12/26/2024,$2.56,1166532,$2.62,$2.69,$2.56
12/24/2024,$2.621,3314790,$2.60,$2.69,$2.55
12/23/2024,$2.61,2003534,$2.67,$2.67,$2.58
12/20/2024,$2.66,3392452,$2.59,$2.7455,$2.56
12/19/2024,$2.62,3817885,$2.64,$2.6755,$2.57
12/18/2024,$2.63,4517733,$2.68,$2.78,$2.57
12/17/2024,$2.66,3559591,$2.48,$2.74,$2.48
12/16/2024,$2.51,3055331,$2.53,$2.59,$2.50
12/13/2024,$2.53,2582484,$2.64,$2.67,$2.50
12/12/2024,$2.61,7674835,$2.62,$2.74,$2.58
12/11/2024,$2.63,4809224,$2.82,$2.85,$2.58
12/10/2024,$2.815,3220814,$2.78,$2.88,$2.76
12/09/2024,$2.79,5639181,$2.72,$2.89,$2.63
12/06/2024,$2.70,4454606,$2.48,$2.74,$2.46
12/05/2024,$2.46,7681545,$2.26,$2.54,$2.22
12/04/2024,$2.30,15060510,$2.68,$2.745,$2.08
12/03/2024,$2.65,4981904,$2.56,$2.71,$2.52
12/02/2024,$2.52,11152170,$3.12,$3.20,$2.40
11/29/2024,$3.10,1965191,$3.13,$3.18,$3.05
11/27/2024,$3.13,5638622,$3.28,$3.35,$3.09
11/26/2024,$3.28,9569111,$3.55,$3.56,$3.16
11/25/2024,$3.55,12140310,$3.13,$3.55,$3.13
11/22/2024,$3.10,7630331,$3.12,$3.21,$3.00
11/21/2024,$3.10,9194821,$2.88,$3.16,$2.86
11/20/2024,$2.92,13867620,$3.24,$3.25,$2.77
11/19/2024,$3.22,6365525,$3.30,$3.48,$3.20
11/18/2024,$3.293,9145031,$3.03,$3.43,$3.02
11/15/2024,$3.00,11366090,$2.89,$3.05,$2.80
11/14/2024,$2.89,20508690,$2.97,$3.00,$2.63
11/13/2024,$2.92,26046920,$2.86,$3.20,$2.45
11/12/2024,$2.81,31667780,$2.21,$2.93,$2.20
11/11/2024,$2.21,21961970,$2.00,$2.23,$1.99
11/08/2024,$1.91,9130954,$1.88,$2.05,$1.81
