Date,Close/Last,Volume,Open,High,Low
05/02/2025,$6.33,2519940,$6.25,$6.44,$6.25
05/01/2025,$6.30,4269575,$6.32,$6.58,$6.21
04/30/2025,$6.31,4166938,$6.22,$6.33,$5.95
04/29/2025,$6.38,3109465,$6.29,$6.48,$6.21
04/28/2025,$6.28,2173237,$6.24,$6.335,$6.22
04/25/2025,$6.30,4846305,$6.29,$6.34,$6.045
04/24/2025,$6.37,4230412,$6.45,$6.455,$6.26
04/23/2025,$6.45,4618477,$6.40,$6.54,$6.37
04/22/2025,$6.26,3609345,$6.07,$6.33,$6.07
04/21/2025,$6.13,4325370,$6.23,$6.25,$5.90
04/17/2025,$6.26,2974068,$6.20,$6.29,$6.06
04/16/2025,$6.11,5211884,$6.38,$6.45,$6.06
04/15/2025,$6.51,6334012,$6.25,$6.51,$6.24
04/14/2025,$6.25,12330690,$6.00,$6.65,$5.83
04/11/2025,$5.83,4577778,$5.80,$5.97,$5.66
04/10/2025,$5.72,7625278,$5.97,$5.99,$5.55
04/09/2025,$6.02,17754780,$5.10,$6.10,$5.00
04/08/2025,$5.20,12117470,$5.84,$6.26,$5.10
04/07/2025,$5.67,17127150,$5.04,$5.73,$4.83
04/04/2025,$5.65,16044400,$5.77,$5.80,$5.17
04/03/2025,$6.12,11693510,$6.13,$6.33,$5.95
04/02/2025,$6.57,3013251,$6.59,$6.66,$6.43
04/01/2025,$6.60,6049017,$6.34,$6.75,$6.33
03/31/2025,$6.32,8618220,$6.68,$6.69,$6.04
03/28/2025,$6.70,5985439,$7.07,$7.08,$6.50
03/27/2025,$7.01,5469580,$6.95,$7.38,$6.95
03/26/2025,$6.92,9576797,$7.30,$7.58,$6.86
03/25/2025,$7.31,13849140,$7.07,$7.58,$7.05
03/24/2025,$7.10,16707950,$6.95,$7.10,$6.46
03/21/2025,$6.39,8510618,$6.26,$6.54,$6.16
03/20/2025,$6.26,8037839,$6.02,$6.26,$5.78
03/19/2025,$6.02,8071667,$5.77,$6.14,$5.67
03/18/2025,$5.65,10339550,$5.84,$5.99,$5.49
03/17/2025,$5.82,9309074,$6.19,$6.31,$5.72
03/14/2025,$6.11,16518220,$5.54,$6.38,$5.53
03/13/2025,$5.50,5951396,$5.77,$5.83,$5.35
03/12/2025,$5.65,9589594,$5.30,$5.77,$5.27
03/11/2025,$5.19,10480940,$4.96,$5.28,$4.91
03/10/2025,$4.91,16783740,$5.63,$5.64,$4.90
03/07/2025,$5.84,23007580,$6.04,$6.04,$5.27
03/06/2025,$6.07,8763005,$6.56,$6.57,$5.98
03/05/2025,$6.62,7328663,$6.48,$6.78,$6.16
03/04/2025,$6.38,14539070,$6.27,$6.50,$5.93
03/03/2025,$6.49,6416124,$6.45,$6.75,$6.44
02/28/2025,$6.40,6838175,$6.52,$6.53,$6.24
02/27/2025,$6.55,8838147,$6.36,$6.65,$6.36
02/26/2025,$6.285,8568491,$6.20,$6.73,$6.19
02/25/2025,$6.24,11457440,$6.75,$6.78,$6.21
02/24/2025,$6.81,12116880,$7.16,$7.25,$6.57
02/21/2025,$7.30,12226300,$7.65,$7.69,$7.10
02/20/2025,$7.43,18465330,$7.81,$8.00,$6.88
02/19/2025,$7.70,12390200,$7.30,$7.71,$7.29
02/18/2025,$7.26,13979600,$7.12,$7.32,$7.10
02/14/2025,$7.09,10474590,$6.81,$7.10,$6.725
02/13/2025,$6.725,12756460,$7.01,$7.12,$6.58
02/12/2025,$6.99,8596324,$6.82,$7.04,$6.755
02/11/2025,$6.82,5052103,$6.68,$6.90,$6.67
02/10/2025,$6.70,7983887,$6.67,$6.97,$6.515
02/07/2025,$6.60,7829289,$6.85,$6.93,$6.43
02/06/2025,$6.85,32462620,$6.77,$7.22,$6.48
02/05/2025,$5.98,13605820,$5.43,$6.03,$5.41
02/04/2025,$5.48,5757142,$5.15,$5.65,$5.15
02/03/2025,$5.16,13762510,$5.20,$5.34,$4.91
01/31/2025,$5.49,5825993,$5.66,$5.69,$5.45
01/30/2025,$5.65,5241771,$5.65,$5.85,$5.57
01/29/2025,$5.66,11566110,$5.73,$5.74,$5.40
01/28/2025,$5.74,11903590,$5.43,$6.02,$5.39
01/27/2025,$5.46,17666320,$5.38,$5.72,$5.24
01/24/2025,$5.74,32035180,$6.36,$6.36,$5.23
01/23/2025,$6.50,9201548,$6.80,$6.80,$6.50
