close,high,low,open,otc,timestamp,transactions,volume,vwap
173.57,174.3,164.31,169.28,,2023-04-30,3408650,360606274.0,169.7598
172.57,174.59,171.0,172.48,,2023-05-07,2523321,250020223.0,172.9674
175.16,176.39,170.4201,173.16,,2023-05-14,2564313,258331254.0,173.3676
175.43,175.77,170.52,173.98,,2023-05-21,2618586,248752181.0,173.2264
180.95,181.78,176.57,176.96,,2023-05-28,2561906,286487806.0,178.7755
180.96,184.951,177.32,182.63,,2023-06-04,3766756,347592487.0,180.4077
184.92,186.99,180.97,181.27,,2023-06-11,3097767,333669297.0,184.3739
186.68,187.56,182.5901,184.41,,2023-06-18,2201130,203672462.0,185.5136
193.97,194.48,185.23,186.83,,2023-06-25,2955255,281452068.0,189.5849
190.68,193.88,189.2,193.78,,2023-07-02,2161926,170268080.0,191.5355
190.69,191.7,186.6,189.26,,2023-07-09,2947940,250254080.0,189.363
191.94,198.23,191.23,191.9,,2023-07-16,3144400,310199135.0,193.7582
195.83,197.2,192.25,193.41,,2023-07-23,2563179,225231289.0,194.4531
181.99,196.73,181.92,196.06,,2023-07-30,3720172,302694473.0,190.0009
177.79,183.13,176.55,182.13,,2023-08-06,3773888,330901087.0,178.6892
174.49,179.69,171.96,177.97,,2023-08-13,2870684,259189807.0,176.2301
178.61,181.55,173.735,175.07,,2023-08-20,2813497,247294748.0,177.7926
189.46,189.92,178.545,180.09,,2023-08-27,2830540,263749544.0,185.6342
178.18,189.98,173.54,188.28,,2023-09-03,3448033,304852162.0,180.9632
175.01,180.3,173.58,180.07,,2023-09-10,3865810,403142390.0,176.0302
174.79,179.695,173.86,176.48,,2023-09-17,3093551,296658796.0,176.7019
171.21,176.97,167.62,174.2,,2023-09-24,3114126,285797895.0,172.0025
177.49,177.99,170.82,171.22,,2023-10-01,2823912,260552427.0,173.8438
178.85,182.34,175.8,176.81,,2023-10-08,2695004,241742840.0,179.2816
172.88,179.075,172.64,176.75,,2023-10-15,2925693,288235400.0,176.172
168.22,174.01,165.67,170.91,,2023-10-22,3204893,285836102.0,170.1633
176.65,177.78,167.9,169.02,,2023-10-29,3434692,310033176.0,173.5835
186.4,186.565,176.21,176.38,,2023-11-05,3030898,303521320.0,182.1163
189.69,190.96,184.21,185.82,,2023-11-12,2834749,262495215.0,188.041
189.97,192.93,189.25,189.89,,2023-11-19,1804269,148321514.0,190.9647
191.24,192.09,188.19,189.92,,2023-11-26,2462436,216307291.0,190.0234
195.71,195.99,187.4511,189.98,,2023-12-03,2813582,251871392.0,193.031
197.57,199.62,191.42,193.11,,2023-12-10,3191806,378264255.0,196.2595
193.6,197.68,192.97,196.09,,2023-12-17,2713459,232340846.0,195.4794
192.53,194.66,191.09,193.61,,2023-12-24,2017860,153729037.0,192.9836
181.18,188.44,180.17,187.15,,2023-12-31,3060750,274629165.0,183.5572
185.92,187.05,181.5,182.085,,2024-01-07,2823188,237785377.0,184.9308
