close,high,low,open,otc,timestamp,transactions,volume,vwap
310.65,311.97,303.4,306.97,,2023-04-30,1754702,120748259.0,306.8739
308.97,313.0,306.09,310.13,,2023-05-07,1714755,124080811.0,309.0471
318.34,319.04,307.59,309.095,,2023-05-14,1643133,121151448.0,314.3967
332.89,333.4,312.61,318.6,,2023-05-21,2185600,158134100.0,322.4853
335.4,337.5,324.72,335.23,,2023-05-28,1820867,128081143.0,331.6376
326.79,338.5599,322.5,335.22,,2023-06-04,2069773,128199113.0,328.969
342.33,351.47,325.16,328.58,,2023-06-11,2278434,158485953.0,339.9429
335.02,342.08,332.07,339.31,,2023-06-18,1534813,98154771.0,336.4885
340.54,342.73,328.49,333.72,,2023-06-25,1705887,109945013.0,335.3027
337.22,342.99,334.7276,339.19,,2023-07-02,1389826,80083978.0,339.2228
345.24,351.43,327.0,334.6,,2023-07-09,2250480,138349157.0,337.3945
343.77,366.78,339.83,345.678,,2023-07-16,2957214,228067910.0,351.4086
338.37,351.89,329.05,345.85,,2023-07-23,3193095,194716928.0,340.1418
327.78,338.54,325.95,336.92,,2023-07-30,2069087,113688818.0,331.7169
321.01,331.11,319.21,328.37,,2023-08-06,1699698,106095860.0,324.3049
316.48,325.09,311.5508,321.39,,2023-08-13,1642994,102336095.0,319.8548
322.98,332.98,317.04,317.93,,2023-08-20,1598249,106133960.0,323.1991
328.66,331.99,321.722,325.66,,2023-08-27,1368617,90604760.0,327.2887
334.27,336.16,328.66,329.0,,2023-09-03,1182521,74007392.0,332.5191
330.22,340.86,329.65,337.24,,2023-09-10,1503161,108457158.0,334.8882
317.01,330.4,315.0,327.8,,2023-09-17,1803643,111745169.0,323.2243
315.75,319.47,309.45,316.59,,2023-09-24,1744903,106682081.0,313.9796
327.26,329.19,311.215,316.28,,2023-10-01,1716080,104954501.0,319.2829
327.73,333.83,323.18,324.75,,2023-10-08,1636650,100808423.0,329.8318
326.67,336.88,325.45,331.05,,2023-10-15,1677451,113607034.0,331.4645
329.81,346.2,324.39,325.47,,2023-10-22,2527805,177783962.0,334.5126
